Date,Open_PT,Volume_PT,Open_TH,Volume_TH,COVID_ND,COVID_NC,COVID_TV
11/4/2021,113.139999,69700,155.029999,2843700,1207,88473,1755046
11/5/2021,109.150002,100300,148.350006,3680200,1563,89603,1592990
11/8/2021,109,78300,146.300003,1948700,1147,116543,1234384
11/9/2021,105.239998,35200,146.020004,2551900,1594,82636,1852796
11/10/2021,103.730003,35200,140.179993,3249500,1252,91973,1811355
11/11/2021,103.110001,36000,137.949997,2464500,965,73244,1718910
11/12/2021,102.68,60400,136.649994,3023800,1698,122732,1476454
11/15/2021,100.18,60500,136,2137700,1036,133534,1248261
11/16/2021,98.129997,76600,133.850006,2175300,1458,98332,1837631
11/17/2021,97.779999,148000,135.5,1985200,1267,105023,1943827
11/18/2021,97.650002,95300,134.839996,8864900,1089,113119,1876173
11/19/2021,88.339996,204800,124.010002,6726200,1591,113653,1650983
11/22/2021,93.769997,143400,115.669998,8485300,1128,145389,1152087
11/23/2021,95.669998,118700,107.610001,7261300,1552,100815,1622291
11/24/2021,92.970001,123700,102.561996,6284700,1221,106534,1651693
11/26/2021,90.559998,51500,117.300003,5712300,558,81692,761904
11/29/2021,89.550003,208900,108.25,6469200,1608,94267,1346035
11/30/2021,87.239998,118800,107.309998,6253900,1611,120910,1862445
12/1/2021,88.779999,165200,101.980003,6070400,1557,133580,1942370
12/2/2021,85.540001,138500,93.440002,5480300,1242,144108,2023620
12/3/2021,89.669998,419400,95.720001,5720000,1473,151702,1916759
12/6/2021,90,121100,90.879997,4654600,1255,183756,1271571
12/7/2021,96.540001,143100,97.485001,4030700,1849,126246,1924427
12/8/2021,96.620003,55700,98.57,3367300,1285,129998,2030835
12/9/2021,96.580002,53200,100.269997,3662800,1157,137522,1899745
12/10/2021,96.25,92300,95.980003,3273000,1825,134245,1840714
12/13/2021,95.889999,69200,93.519997,5389000,1269,186730,1340776
12/14/2021,93.559998,135100,90.75,4483200,1911,124560,1952600
12/15/2021,95.730003,87700,91.669998,4376500,1666,146620,2099882
12/16/2021,96.419998,88900,93,4572700,1105,162169,2075430
12/17/2021,94.110001,239500,88.480003,8824700,1852,160735,1977750
12/20/2021,95.919998,131900,95.75,4234500,1376,266479,1544667
12/21/2021,95,79700,95.510002,3558800,2259,207797,2180184
12/22/2021,96.489998,42700,96.709999,2663100,1554,243530,2383595
12/23/2021,96.82,110900,94.400002,3147100,1015,280015,2375070
12/27/2021,96.32,69700,93.169998,2685300,1617,466308,1698689
12/28/2021,96.68,65900,93.75,2806300,2181,401138,2285578
12/29/2021,98.970001,72600,91,2684800,1580,488460,2306976
12/30/2021,99.209999,44400,89.800003,3676700,1334,602303,2327839
12/31/2021,97.75,85900,94.019997,2482900,1321,466631,1991619
1/3/2022,96.580002,87200,92.379997,2701100,1477,909600,2200341
1/4/2022,101.400002,70400,95.629997,4367100,2810,735166,2886230
1/5/2022,98.900002,64400,90.75,4274800,1668,720549,3139662
1/6/2022,95.660004,63200,84.410004,4757800,2065,810140,3125644
1/7/2022,91.150002,144600,81.599998,3872500,2352,862102,2853925
1/10/2022,92.190002,82800,81.75,5678000,1956,1259915,2073252
1/11/2022,94.150002,68100,82.360001,3723200,3198,814296,2631036
1/12/2022,94.199997,97100,85.68,3924800,2191,863370,2859728
1/13/2022,91.480003,57000,82.400002,3739700,2146,899888,2963587
1/14/2022,92.349998,67100,77.5,4578700,2818,846647,2773701
1/18/2022,94.519997,111200,78.25,3577800,2633,860672,2543335
1/19/2022,91.830002,104800,76.010002,4640600,2818,785819,2909775
1/20/2022,91.230003,88800,77.019997,4987000,2853,775333,2752057
1/21/2022,91.07,121800,75.190002,5521500,3765,776107,2434329
1/24/2022,91.150002,147300,69.699997,6916500,2745,1011526,1511452
1/25/2022,93.029999,76700,72.010002,3914100,3535,499649,1889872
1/26/2022,93.440002,114900,74.449997,4802000,3101,547053,2043254
1/27/2022,92.519997,91500,70.709999,3280900,2842,572263,2003470
1/28/2022,93.190002,94500,67.800003,3942000,3458,525368,1855535
