Date,Open_PT,Volume_PT,Open_TH,Volume_TH,COVID_ND,COVID_NC,COVID_TV
5/22/2020,76.190002,125500,176.339996,1460200,1794,26026,492576
5/26/2020,77.919998,119800,173.25,3447700,831,16826,461825
5/27/2020,79.379997,151800,158.419998,4784800,1288,19800,553756
5/28/2020,76.82,131500,160.550003,2576500,1218,24201,536705
5/29/2020,74.919998,137400,170.929993,5770600,1039,23798,547284
6/1/2020,74.330002,115400,172.600006,2495100,694,17242,439417
6/2/2020,75.419998,74200,172.5,2410200,939,20812,522252
6/3/2020,77.239998,227600,166.789993,2506200,1028,21026,582525
6/4/2020,78.019997,124400,163,3343100,876,20659,618662
6/5/2020,82.150002,171600,151.300003,2950700,865,24720,573342
6/8/2020,88.82,163000,160,2233700,799,18078,449394
6/9/2020,85.660004,165700,169.570007,1794700,827,18576,560569
6/10/2020,85.580002,121100,170,2591300,869,22256,628991
6/11/2020,77.400002,206300,178,4216700,894,23005,615021
6/12/2020,76.660004,113700,177.360001,2125400,731,28397,616778
6/15/2020,71,106100,175.210007,3415800,537,20678,506621
6/16/2020,78.669998,102000,183.910004,2424900,669,24784,673128
6/17/2020,78.400002,72600,189,2484700,678,25869,706119
6/18/2020,74.580002,81200,192.399994,2611500,655,28651,702149
6/19/2020,77.529999,200500,192.960007,4819000,744,33230,704508
6/22/2020,75.970001,67100,204.960007,2659300,496,28780,548171
6/23/2020,77.769997,134800,206,2653800,737,37891,700759
6/24/2020,77.839996,141900,198.479996,2679200,692,37239,767213
6/25/2020,75.610001,122300,196.509995,2755900,720,47188,771676
6/26/2020,76.300003,150400,203.059998,10468400,706,46552,810256
6/29/2020,75.809998,64400,194,2830800,474,38696,665108
6/30/2020,79.440002,108500,188.380005,1585600,640,46663,856326
7/1/2020,80.720001,111900,189.899994,1986300,782,59320,884933
7/2/2020,82.419998,70100,202.789993,2416100,705,55590,858914
7/6/2020,82.839996,61000,212.369995,2402800,627,51116,725814
7/7/2020,80.239998,81800,219.550003,2245900,923,56223,903777
7/8/2020,77.169998,92900,220.800003,1457700,1090,65116,981174
7/9/2020,75.730003,96000,226.550003,1387300,952,62288,1012255
7/10/2020,74.190002,55600,228,1202600,952,68474,1016304
7/13/2020,77.540001,65600,233,2180900,736,56240,868219
7/14/2020,77.269997,69400,220.399994,3039400,925,64950,1004111
7/15/2020,80.739998,129300,209.559998,2425800,1127,72286,1035607
7/16/2020,81.82,56500,219.059998,1362900,1082,69906,1029317
7/17/2020,80.339996,68600,218.559998,1032900,1092,77099,1047682
7/20/2020,80.150002,77400,220.210007,1578000,880,58632,907791
7/21/2020,81.370003,54100,230.339996,1351000,1185,63637,1036656
7/22/2020,82.629997,46700,228.820007,1078800,1195,72445,1110047
7/23/2020,83.230003,54400,226.839996,1296200,1261,73743,1084284
7/24/2020,83.419998,49900,214.710007,1302600,1338,73414,1074949
7/27/2020,81.830002,37000,215,1612900,953,53609,797985
7/28/2020,83.330002,55200,213.5,967900,1185,59119,968536
7/29/2020,82.610001,39500,216,1862900,1168,64849,1040860
7/30/2020,82.730003,55700,211.839996,3985700,1421,66809,1038563
7/31/2020,82.940002,100700,240,2478700,1388,68721,990913
8/3/2020,83.419998,64800,234.070007,1741400,890,45474,777315
8/4/2020,82.199997,85600,240,2923500,1089,51895,884194
8/5/2020,86,107500,238.169998,27423400,1266,56106,965852
8/6/2020,90.959999,147100,216,10382100,1204,54820,990969
8/7/2020,88.970001,75600,215,9661000,1318,62260,1016044
8/10/2020,92.830002,92200,197.009995,9062200,823,44261,785389
8/11/2020,92.709999,111100,190,6227800,1097,59058,909521
8/12/2020,92.43,60700,185.089996,4050500,1341,55167,1028554
8/13/2020,89.849998,63400,187.809998,4345200,1202,52116,980587
8/14/2020,89.220001,39800,192.5,3569700,1065,56139,961833
8/17/2020,89.43,58400,196.550003,6643000,656,41896,677073
8/18/2020,91.669998,66600,211.509995,6587700,942,41695,895762
8/19/2020,88.120003,48400,217.389999,4745900,1280,47083,1005267
8/20/2020,86.120003,43300,213.630005,3057700,995,46821,996995
8/21/2020,85.650002,63500,219.75,6260300,1023,47830,965760
8/24/2020,86.449997,65700,224.949997,5660600,613,36209,667015
8/25/2020,84.25,108400,209.740005,3268500,890,40799,906241
8/26/2020,83.519997,78900,210.809998,3775500,1065,47286,1018189
8/27/2020,83.599998,108100,212.449997,2796900,960,47040,1020999
8/28/2020,89.940002,64800,217.5,3291300,1037,47061,987536
8/31/2020,90.949997,89700,210.330002,3461600,584,39217,661911
9/1/2020,88.470001,73600,219.330002,3028600,857,39077,908031
9/2/2020,88.709999,112600,227.800003,3060200,874,42368,1027740
9/3/2020,94.769997,85400,213.850006,4899700,952,45445,1033220
9/4/2020,94.860001,93500,196.949997,4980100,929,51324,999974
9/8/2020,92.660004,68800,189.5,2927800,576,28634,664399
9/9/2020,93.889999,82300,197.259995,2253400,840,35309,959598
9/10/2020,93.830002,55300,202.220001,2045100,846,38872,1088546
9/11/2020,91.639999,59200,199.410004,2675100,880,44376,1100885
9/14/2020,91.779999,37900,192.520004,1804500,454,34666,709126
9/15/2020,93.309998,55600,195.600006,1482000,776,37183,967969
9/16/2020,93.139999,37500,195,2493300,1107,44829,1140245
9/17/2020,92.059998,47400,187.419998,3457400,732,45405,1158466
9/18/2020,92.709999,202800,200.889999,4441300,823,48159,1230125
9/21/2020,88.860001,67800,203,2898600,580,41739,750827
9/22/2020,87.620003,113900,205.490005,3728400,659,50045,1030273
9/23/2020,84.489998,71000,214,2960400,907,42684,1205650
9/24/2020,82.230003,40900,203.110001,1960300,747,46381,1203212
9/25/2020,82.519997,47300,207.990005,3605800,769,50203,1130579
9/28/2020,85.239998,41300,222.029999,2273200,422,39251,668350
9/29/2020,85.57,61600,216.5,2137200,804,38961,985130
9/30/2020,86.040001,95600,217.270004,2632100,689,45998,1201578
10/1/2020,86.989998,84600,222.860001,1817800,752,47510,1225274
10/2/2020,84.589996,56000,215,2397800,912,51183,1192666
10/5/2020,87.080002,89400,223.389999,1651200,529,41750,807846
10/6/2020,88.870003,88800,223.289993,1753300,641,41943,1228061
10/7/2020,87.660004,116200,222.149994,2308700,805,54337,1414121
10/8/2020,86.419998,71100,225.279999,1257700,733,55683,1434976
10/9/2020,90.800003,40600,223.880005,1595400,790,59178,1402405
10/12/2020,88.129997,38800,221.899994,1837000,508,50066,811029
10/13/2020,85.839996,41300,220.979996,4452800,655,50591,1065791
10/14/2020,86.360001,37700,233.529999,2184400,829,58073,1232655
10/15/2020,84.839996,58300,225.339996,2062500,715,63146,1306614
10/16/2020,85.980003,153700,227.5,1277400,879,69422,1331837
10/19/2020,85.889999,62000,222.710007,1669000,621,62074,876231
10/20/2020,84.889999,57900,223.800003,1271500,801,59149,1278623
10/21/2020,84.260002,64500,224.740005,2223000,1044,70213,1480785
10/22/2020,82.620003,95900,218.399994,1545800,933,75043,1533771
10/23/2020,83.830002,51300,215,1347600,947,82963,1466626
10/26/2020,81.07,81500,215,2214800,701,69963,955428
10/27/2020,79.68,94200,214.690002,2835700,894,76006,1340868
10/28/2020,76.690002,138200,220.130005,4575900,1072,85092,1504689
10/29/2020,75.089996,132600,217.589996,11257900,1103,91554,1486623
10/30/2020,76.769997,123200,215.990005,6095700,932,98071,1502558
11/2/2020,80.709999,130300,194,5631100,751,87547,1017118
11/3/2020,89.029999,209900,192,3380200,1035,98919,1365083
11/4/2020,86.809998,168200,200,3985200,1308,114995,1633060
11/5/2020,86.739998,244100,205.600006,3273000,1217,123760,1696724
11/6/2020,95.75,120600,208.5,2418600,1299,134454,1678154
11/9/2020,104.989998,166900,191.375,10987200,952,125316,1224520
11/10/2020,113.010002,146600,180.410004,7792100,1226,147659,1539298
11/11/2020,107.940002,178800,177.550003,4549400,1518,154286,1791700
11/12/2020,108.260002,206700,186.949997,3762700,1367,162880,1854306
11/13/2020,105.650002,88300,190,4582900,1275,178169,1905197
11/16/2020,111.400002,83700,178.100006,6252600,1064,153120,1492982
11/17/2020,107.800003,103500,178.970001,3696700,1590,167782,1905839
11/18/2020,112.690002,132000,180.029999,4238900,1858,171721,2099593
11/19/2020,106.529999,40100,182,4392800,1914,190435,2077049
11/20/2020,105.5,56200,192.509995,4442100,1993,194842,2151275
11/23/2020,108.230003,39900,200,3106000,1463,159973,1674308
